正在启动 Julia 探测模块 ...
共检测到 200 个文件需要探测。
初始化防撞模块 STM & TRM...
加载推演剧本: D:/workforce/project/suma/suma/suma/example\AutoGen_Encounter_0001.json
[Time   14] 距离:5000 | 相高:+100 | 方位:+120° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:50.0 => H:0 | V:0
[Time   15] 距离:5000 | 相高:+100 | 方位:+120° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:45.0 => H:0 | V:0
[Time   16] 距离:5000 | 相高:+100 | 方位:+120° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:40.0 => H:0 | V:0
[Time   17] 距离:5000 | 相高:+100 | 方位:+120° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:40.0 => H:0 | V:0
[Time   18] 距离:5000 | 相高:+100 | 方位:+120° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:35.0 => H:0 | V:0
[Time   19] 距离:5000 | 相高:+100 | 方位:+120° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:30.0 => H:0 | V:0
[Time   20] 距离:5000 | 相高:+100 | 方位:+120° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:30.0 => H:0 | V:0
[Time   21] 距离:5000 | 相高:+100 | 方位:+120° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:25.0 => H:0 | V:0
[Time   22] 距离:5000 | 相高:+100 | 方位:+120° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:25.0 => H:0 | V:0
[Time   23] 距离:5000 | 相高:+100 | 方位:+120° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:20.0 => H:0 | V:0
[Time   24] 距离:5000 | 相高:+100 | 方位:+150° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:20.0 => H:0 | V:0
[Time   25] 距离:4000 | 相高:+100 | 方位:+150° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:20.0 => H:0 | V:0
[Time   26] 距离:4000 | 相高:+100 | 方位:+150° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:20.0 => H:0 | V:0
[Time   27] 距离:5000 | 相高:+100 | 方位:+150° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:20.0 => H:0 | V:0
[Time   28] 距离:5000 | 相高:+100 | 方位:+150° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:20.0 => H:0 | V:0
